Frame,Chain,MgID,ListResids,ListResnames,ListAtoms
1749,PP1,310,60,POPE, O13
1749,PP1,323,5,POPE, O14
1750,PP1,310,60,POPE, O13
1750,PP1,323,5,POPE, O14
1751,PP1,310,60,POPE, O13
1751,PP1,323,5,POPE, O14
1752,PP1,310,60,POPE, O13
1752,PP1,323,5,POPE, O14
1753,PP1,310,60,POPE, O13
1753,PP1,323,5,POPE, O14
1754,PP1,310,60,POPE, O13
1754,PP1,323,5,POPE, O14
1755,PP1,310,60,POPE, O13
1755,PP1,323,5,POPE, O14 P
1756,PP1,310,60,POPE, O13
1756,PP1,323,5,POPE, O14
1757,PP1,310,60,POPE, O13
1757,PP1,323,5,POPE, O14
1758,PP1,310,60,POPE, O13
1758,PP1,323,5,POPE, O14
1759,PP1,310,60,POPE, O13
1759,PP1,323,5,POPE, O14
1760,PP1,310,60,POPE, O13
1760,PP1,323,5,POPE, O14
1761,PP1,310,60,POPE, O13
1761,PP1,323,5,POPE, O14
1762,PP1,310,60,POPE, O13
1762,PP1,323,5,POPE, O14
1763,PP1,310,60,POPE, O13
1763,PP1,323,5,POPE, O14
1764,PP1,310,60,POPE, O13
1764,PP1,323,5,POPE, O14
1765,PP1,310,60,POPE, O13
1765,PP1,323,5,POPE, O14 P
