Frame,Chain,MgID,ListResids,ListResnames,ListAtoms
2335,PP1,310,60,POPE, O13
2335,PP1,323,5,POPE, O14
2336,PP1,310,60,POPE, O13
2336,PP1,323,5,POPE, O14
2337,PP1,310,60,POPE, O13
2337,PP1,323,5,POPE, O14
2338,PP1,310,60,POPE, O13
2338,PP1,323,5,POPE, O14
2339,PP1,310,60,POPE, O13
2339,PP1,323,5,POPE, O14
2340,PP1,310,60,POPE, O13
2340,PP1,323,5,POPE, O14
2341,PP1,310,60,POPE, O13
2341,PP1,323,5,POPE, O14
2342,PP1,310,60,POPE, O13
2342,PP1,323,5,POPE, O14
2343,PP1,310,60,POPE, O13
2343,PP1,323,5,POPE, O14
2344,PP1,310,60,POPE, O13
2344,PP1,323,5,POPE, O14
2345,PP1,310,60,POPE, O13
2345,PP1,323,5,POPE, O14
2346,PP1,310,60,POPE, O13
2346,PP1,323,5,POPE, O14
2347,PP1,310,60,POPE, O13 P
2347,PP1,323,5,POPE, O14
2348,PP1,310,60,POPE, O13
2348,PP1,323,5,POPE, O14
2349,PP1,310,60,POPE, O13
2349,PP1,323,5,POPE, O14
2350,PP1,310,60,POPE, O13
2350,PP1,323,5,POPE, O14
2351,PP1,310,60,POPE, O13
2351,PP1,323,5,POPE, O14
2352,PP1,310,60,POPE, O13
2352,PP1,323,5,POPE, O14
2353,PP1,310,60,POPE, O13
2353,PP1,323,5,POPE, O14
2354,PP1,310,60,POPE, O13
2354,PP1,323,5,POPE, O14
2355,PP1,310,60,POPE, O13 P
2355,PP1,323,5,POPE, O14
2356,PP1,310,60,POPE, O13
2356,PP1,323,5,POPE, O14
2357,PP1,310,60,POPE, O13
2357,PP1,323,5,POPE, O14
2358,PP1,310,60,POPE, O13
2358,PP1,323,5,POPE, O14
2359,PP1,310,60,POPE, O13
2359,PP1,323,5,POPE, O14 P
2360,PP1,310,60,POPE, O13
2360,PP1,323,5,POPE, O14
2361,PP1,310,60,POPE, HN1 O13
2361,PP1,323,5,POPE, O14
2362,PP1,310,60,POPE, O13
2362,PP1,323,5,POPE, O14
2363,PP1,310,60,POPE, O13
2363,PP1,323,5,POPE, O14
2364,PP1,310,60,POPE, O13
2364,PP1,323,5,POPE, O14
2365,PP1,310,60,POPE, O13
2365,PP1,323,5,POPE, O14
2366,PP1,310,60,POPE, O13 P
2366,PP1,323,5,POPE, O14
2367,PP1,310,60,POPE, O13
2367,PP1,323,5,POPE, O14
2368,PP1,310,60,POPE, O13
2368,PP1,323,5,POPE, O14
