Frame,Chain,MgID,WaterID,ListResids,ListResnames,ListAtoms
499,PP1,310,3739,53,POPE, O13 O14 P
499,PP1,310,4054,54 60,POPE POPG, O13 P
499,PP1,310,4452,53 60,POPE, O13 O14
499,PP1,323,5514,,, 
499,PP1,323,5539,5,POPE, O14
499,PP1,323,5586,5,POPE, O14
500,PP1,310,3739,53,POPE, O13 O14 P
500,PP1,310,4054,60,POPE, O13
500,PP1,310,4452,53 60,POPE, O11 O13 O14
500,PP1,323,5514,,, 
500,PP1,323,5539,5,POPE, O14
500,PP1,323,5586,5,POPE, O14
501,PP1,310,3739,53,POPE, O13 O14 P
501,PP1,310,4054,54 60,POPE POPG, O13
501,PP1,310,4452,60,POPE, O13
501,PP1,323,5514,,, 
501,PP1,323,5539,5,POPE, O14
501,PP1,323,5586,5,POPE, O14
502,PP1,310,3739,,, 
502,PP1,310,4054,60,POPE, O13 O14
502,PP1,310,4452,60,POPE, O11 O13
502,PP1,323,5514,,, 
502,PP1,323,5539,5,POPE, O14
502,PP1,323,5586,5,POPE, O14
503,PP1,310,3739,53,POPE, O13 O14 P
503,PP1,310,4054,60,POPE, O13
503,PP1,310,4452,53 60,POPE, O13 O14
503,PP1,323,5514,,, 
503,PP1,323,5539,5,POPE, O14
503,PP1,323,5586,5,POPE, O14
504,PP1,310,3739,53 74,POPE, HN2 O13 O14
504,PP1,310,4054,60,POPE, O13
504,PP1,310,4452,53 60,POPE, O13 O14 P
504,PP1,323,5514,,, 
504,PP1,323,5539,5,POPE, HN3 O12 O14
504,PP1,323,5586,5,POPE, O14
505,PP1,310,3739,53,POPE, O13 P
505,PP1,310,4054,54 60,POPE POPG, O13 O14 P
505,PP1,310,4452,53 60,POPE, O13 O14 P
505,PP1,323,5514,,, 
505,PP1,323,5539,5,POPE, O14
505,PP1,323,5586,27 5,POPE, HN1 O14
506,PP1,310,3739,,, 
506,PP1,310,4054,54 60,POPE POPG, O11 O13 O14 P
506,PP1,310,4452,53 60,POPE, O13 O14 P
506,PP1,323,5514,,, 
506,PP1,323,5539,5,POPE, O14
506,PP1,323,5586,5,POPE, O14
507,PP1,310,3739,,, 
507,PP1,310,4054,54 60,POPE POPG, O11 O13 O14
507,PP1,310,4452,53 60,POPE, O13 O14 P
507,PP1,323,5514,,, 
507,PP1,323,5539,5,POPE, HN1 O14
507,PP1,323,5586,5,POPE, O14
508,PP1,310,3739,,, 
508,PP1,310,4054,54 60,POPE POPG, O13 O14 P
508,PP1,310,4452,60,POPE, O13
508,PP1,323,5514,,, 
508,PP1,323,5539,5,POPE, O14
508,PP1,323,5586,5,POPE, O14
509,PP1,310,3739,53,POPE, O13 O14 P
509,PP1,310,4054,54 60,POPE POPG, O13 P
509,PP1,310,4452,53 60,POPE, O13 O14 P
509,PP1,323,5514,,, 
509,PP1,323,5539,5,POPE, O14
509,PP1,323,5586,5,POPE, O14
510,PP1,310,3739,53 54,POPE POPG, O12 O13 O14 P
510,PP1,310,4054,54 60,POPE POPG, O12 O13 P
510,PP1,310,4452,53 60,POPE, O13 O14 P
510,PP1,323,5514,,, 
510,PP1,323,5539,5,POPE, O14
510,PP1,323,5586,5,POPE, O14
511,PP1,310,3739,,, 
511,PP1,310,4054,54 60,POPE POPG, O13 OC2
511,PP1,310,4452,53 60,POPE, O11 O13 O14 P
511,PP1,323,5514,,, 
511,PP1,323,5539,5,POPE, O14
511,PP1,323,5586,5,POPE, O14
512,PP1,310,3739,53,POPE, O11 O13 O14 P
512,PP1,310,4054,60,POPE, O13
512,PP1,310,4452,53 60,POPE, O11 O13 O14 P
512,PP1,323,5514,,, 
512,PP1,323,5539,5,POPE, O14
512,PP1,323,5586,5,POPE, O14
513,PP1,310,3739,,, 
513,PP1,310,4054,60,POPE, O13
513,PP1,310,4452,53 60,POPE, O11 O13 P
513,PP1,323,5514,,, 
513,PP1,323,5539,5,POPE, O14
513,PP1,323,5586,5,POPE, O14
514,PP1,310,3739,53,POPE, O13 P
514,PP1,310,4054,60,POPE, O13
514,PP1,310,4452,53 60,POPE, O13 O14
514,PP1,323,5514,,, 
514,PP1,323,5539,5,POPE, O14
514,PP1,323,5586,5,POPE, O14
515,PP1,310,3739,,, 
515,PP1,310,4054,60,POPE, O13
515,PP1,310,4452,53 60,POPE, O13 O14 P
515,PP1,323,5514,,, 
515,PP1,323,5539,5,POPE, O14
515,PP1,323,5586,5,POPE, O14
516,PP1,310,3739,53,POPE, O13 P
516,PP1,310,4054,53 54 60,POPE POPG, O13 O14 P
516,PP1,310,4452,53 60,POPE, HN2 O13
516,PP1,323,5514,,, 
516,PP1,323,5539,5,POPE, O14
516,PP1,323,5586,5,POPE, O14
517,PP1,310,3739,53,POPE, O13
517,PP1,310,4054,54 60,POPE POPG, O12 O13 O14 P
517,PP1,310,4452,53 60,POPE, O13 O14 P
517,PP1,323,5514,,, 
517,PP1,323,5539,5,POPE, O14
517,PP1,323,5586,5,POPE, O14
518,PP1,310,3739,,, 
518,PP1,310,4054,60,POPE, O13
518,PP1,310,4452,53 60,POPE, O13 O14 P
518,PP1,323,5514,,, 
518,PP1,323,5539,5,POPE, O12 O14
518,PP1,323,5586,5,POPE, O14
519,PP1,310,3739,,, 
519,PP1,310,4054,54 60,POPE POPG, O13 O14 P
519,PP1,310,4452,53 60 76,POPE, HN2 HN3 O13 O14 P
519,PP1,323,5514,,, 
519,PP1,323,5539,5,POPE, O14
519,PP1,323,5586,5,POPE, O14
520,PP1,310,3739,53,POPE, O13
520,PP1,310,4054,54 60,POPE POPG, O11 O13 O14 P
520,PP1,310,4452,53 60 76,POPE, HN1 HN3 N O13 O14
520,PP1,323,5514,,, 
520,PP1,323,5539,5,POPE, O14
520,PP1,323,5586,5,POPE, O14
521,PP1,310,3739,53 74,POPE, HN2 O13
521,PP1,310,4054,54 60,POPE POPG, O13 O14
521,PP1,310,4452,53 60,POPE, O13 O14 P
521,PP1,323,5514,,, 
521,PP1,323,5539,5,POPE, HN1 O12 O14
521,PP1,323,5586,5,POPE, O14
522,PP1,310,3739,,, 
522,PP1,310,4054,54 60,POPE POPG, O13 P
522,PP1,310,4452,60,POPE, O11 O13
522,PP1,323,5514,,, 
522,PP1,323,5539,5,POPE, O14
522,PP1,323,5586,5,POPE, O14
523,PP1,310,3739,,, 
523,PP1,310,4054,60,POPE, O13
523,PP1,310,4452,53 60,POPE, O11 O13 P
523,PP1,323,5514,,, 
523,PP1,323,5539,5,POPE, O14
523,PP1,323,5586,5,POPE, O13 O14
524,PP1,310,3739,,, 
524,PP1,310,4054,60,POPE, O13
524,PP1,310,4452,60 76,POPE, O12 O13 P
524,PP1,323,5514,,, 
524,PP1,323,5539,5,POPE, O14
524,PP1,323,5586,5,POPE, O14
525,PP1,310,3739,54,POPG, O14 P
525,PP1,310,4054,54 60,POPE POPG, O11 O13 O14 P
525,PP1,310,4452,60 76,POPE, O13 P
525,PP1,323,5514,,, 
525,PP1,323,5539,5,POPE, O14
525,PP1,323,5586,5,POPE, O14
526,PP1,310,3739,54,POPG, O14 P
526,PP1,310,4054,54 58 60,POPE POPG, HN1 N O13 O14 P
526,PP1,310,4452,60 76,POPE, O13 O14 P
526,PP1,323,5514,,, 
526,PP1,323,5539,5,POPE, HN1 O14
526,PP1,323,5586,5,POPE, O14
527,PP1,310,3739,54,POPG, O13 O14 P
527,PP1,310,4054,54 60,POPE POPG, O13 P
527,PP1,310,4452,60 76,POPE, O13 O14 P
527,PP1,323,5514,,, 
527,PP1,323,5539,5,POPE, O14
527,PP1,323,5586,5,POPE, O14
528,PP1,310,3739,54,POPG, O13 P
528,PP1,310,4054,60,POPE, O13
528,PP1,310,4452,54 60 76,POPE POPG, O13 P
528,PP1,323,5514,,, 
528,PP1,323,5539,5,POPE, O14
528,PP1,323,5586,5,POPE, O14
529,PP1,310,3739,54,POPG, O13 P
529,PP1,310,4054,60,POPE, O13
529,PP1,310,4452,60 76,POPE, O13
529,PP1,323,5514,,, 
529,PP1,323,5539,5,POPE, O14
529,PP1,323,5586,5,POPE, O14
530,PP1,310,3739,54 74,POPE POPG, HN1 O11 O13 P
530,PP1,310,4054,54 60,POPE POPG, O11 O13 P
530,PP1,310,4452,60 76,POPE, HN3 O13 O14
530,PP1,323,5514,,, 
530,PP1,323,5539,5,POPE, O14
530,PP1,323,5586,5,POPE, O14
531,PP1,310,3739,54,POPG, O13 P
531,PP1,310,4054,54 60,POPE POPG, O11 O13 P
531,PP1,310,4452,60 74 76,POPE, HN3 O12 O13 P
531,PP1,323,5514,,, 
531,PP1,323,5539,5,POPE, O14
531,PP1,323,5586,5,POPE, O14
532,PP1,310,3739,54,POPG, O13 P
532,PP1,310,4054,60,POPE, O13
532,PP1,310,4452,60 76,POPE, O13 O14 P
532,PP1,323,5514,,, 
532,PP1,323,5539,5,POPE, O14
532,PP1,323,5586,5,POPE, O14
533,PP1,310,3739,54 74,POPE POPG, HN1 HN3 O14 P
533,PP1,310,4054,54 60,POPE POPG, O11 O13 O14 P
533,PP1,310,4452,60 76,POPE, O13
533,PP1,323,5514,,, 
533,PP1,323,5539,5,POPE, O14
533,PP1,323,5586,5,POPE, O14
534,PP1,310,3739,,, 
534,PP1,310,4054,54 60,POPE POPG, O13 P
534,PP1,310,4452,60 76,POPE, O13 P
534,PP1,323,5514,,, 
534,PP1,323,5539,5,POPE, O14
534,PP1,323,5586,5,POPE, O14
535,PP1,310,3739,54 74,POPE POPG, HN2 O13 O14 P
535,PP1,310,4054,54 60,POPE POPG, O13 O14 P
535,PP1,310,4452,60,POPE, O13
535,PP1,323,5514,,, 
535,PP1,323,5539,5,POPE, O14
535,PP1,323,5586,5,POPE, O14
536,PP1,310,3739,54,POPG, O13 O14 P
536,PP1,310,4054,54 60,POPE POPG, O13 O14 P
536,PP1,310,4452,60 76,POPE, O13
536,PP1,323,5514,,, 
536,PP1,323,5539,5,POPE, O14
536,PP1,323,5586,5,POPE, O14
537,PP1,310,3739,54,POPG, O14 P
537,PP1,310,4054,54 60,POPE POPG, O13 O14 P
537,PP1,310,4452,60 76,POPE, O13 P
537,PP1,323,5514,,, 
537,PP1,323,5539,5,POPE, O14
537,PP1,323,5586,5,POPE, O13 O14
538,PP1,310,3739,54,POPG, O13 O14 P
538,PP1,310,4054,54 58 60,POPE POPG, HN1 HN2 N O11 O13 O14 P
538,PP1,310,4452,60 76,POPE, O13 O14 P
538,PP1,323,5514,,, 
538,PP1,323,5539,5,POPE, O14
538,PP1,323,5586,5,POPE, O14
539,PP1,310,3739,54,POPG, O13 O14 P
539,PP1,310,4054,60,POPE, O13
539,PP1,310,4452,60 76,POPE, O13 O14 P
539,PP1,323,5514,,, 
539,PP1,323,5539,5,POPE, O14
539,PP1,323,5586,5,POPE, O14
540,PP1,310,3739,54,POPG, O13 O14 P
540,PP1,310,4054,60,POPE, O13
540,PP1,310,4452,60 76,POPE, O11 O13 O14 P
540,PP1,323,5514,,, 
540,PP1,323,5539,5,POPE, HN3 O14
540,PP1,323,5586,5,POPE, O14
541,PP1,310,3739,,, 
541,PP1,310,4054,60,POPE, O13
541,PP1,310,4452,60 76,POPE, O13 P
541,PP1,323,5514,,, 
541,PP1,323,5539,5,POPE, HN3 O14
541,PP1,323,5586,5,POPE, O14
542,PP1,310,3739,,, 
542,PP1,310,4054,60,POPE, O13
542,PP1,310,4452,60 76,POPE, O13 P
542,PP1,323,5514,,, 
542,PP1,323,5539,5,POPE, HN3 O12 O14
542,PP1,323,5586,5,POPE, O14
543,PP1,310,3739,,, 
543,PP1,310,4054,60,POPE, O13
543,PP1,310,4452,60 76,POPE, O11 O13 O14 P
543,PP1,323,5514,,, 
543,PP1,323,5539,5,POPE, O14
543,PP1,323,5586,5,POPE, O14
544,PP1,310,3739,,, 
544,PP1,310,4054,60,POPE, O13
544,PP1,310,4452,60 76,POPE, O11 O13 O14 P
544,PP1,323,5514,,, 
544,PP1,323,5539,5,POPE, O14
544,PP1,323,5586,5,POPE, O14
545,PP1,310,3739,,, 
545,PP1,310,4054,60,POPE, O13
545,PP1,310,4452,60 76,POPE, O13 O14 P
545,PP1,323,5514,,, 
545,PP1,323,5539,5,POPE, O14
545,PP1,323,5586,5,POPE, O14
546,PP1,310,3739,,, 
546,PP1,310,4054,60,POPE, O13
546,PP1,310,4452,60 76,POPE, O11 O13 O14 P
546,PP1,323,5514,,, 
546,PP1,323,5539,5,POPE, HN2 O14
546,PP1,323,5586,5,POPE, O14
547,PP1,310,3739,,, 
547,PP1,310,4054,60,POPE, O13
547,PP1,310,4452,60,POPE, O13
547,PP1,323,5514,,, 
547,PP1,323,5539,5,POPE, O14
547,PP1,323,5586,5,POPE, O14
548,PP1,310,3739,,, 
548,PP1,310,4054,60,POPE, O13
548,PP1,310,4452,60,POPE, O13
548,PP1,323,5514,,, 
548,PP1,323,5539,5,POPE, O14
548,PP1,323,5586,5,POPE, O14
549,PP1,310,3739,,, 
549,PP1,310,4054,60,POPE, O13
549,PP1,310,4452,60,POPE, O13
549,PP1,323,5514,,, 
549,PP1,323,5539,5,POPE, HN3 O14
549,PP1,323,5586,5,POPE, O14
550,PP1,310,3739,,, 
550,PP1,310,4054,58 60,POPE, HN1 O13
550,PP1,310,4452,60 76,POPE, O13
550,PP1,323,5514,,, 
550,PP1,323,5539,5,POPE, O14
550,PP1,323,5586,5,POPE, O13 O14 P
551,PP1,310,3739,,, 
551,PP1,310,4054,60,POPE, O13
551,PP1,310,4452,60 76,POPE, O13
551,PP1,323,5514,,, 
551,PP1,323,5539,5,POPE, O14
551,PP1,323,5586,5,POPE, O14
552,PP1,310,3739,,, 
552,PP1,310,4054,60,POPE, O13
552,PP1,310,4452,60 76,POPE, O13
552,PP1,323,5514,,, 
552,PP1,323,5539,5,POPE, O14
552,PP1,323,5586,5,POPE, O14
553,PP1,310,3739,,, 
553,PP1,310,4054,54 60,POPE POPG, O13 O14 P
553,PP1,310,4452,60,POPE, O13
553,PP1,323,5514,,, 
553,PP1,323,5539,5,POPE, O14
553,PP1,323,5586,5,POPE, O14
554,PP1,310,3739,,, 
554,PP1,310,4054,60,POPE, O13
554,PP1,310,4452,60,POPE, O13
554,PP1,323,5514,,, 
554,PP1,323,5539,5,POPE, O14
554,PP1,323,5586,5,POPE, O14
555,PP1,310,3739,53,POPE, O11 O13 P
555,PP1,310,4054,60,POPE, O13
555,PP1,310,4452,60 76,POPE, O13 O14 P
555,PP1,323,5514,,, 
555,PP1,323,5539,5,POPE, O14
555,PP1,323,5586,5,POPE, O14
556,PP1,310,3739,53,POPE, O13
556,PP1,310,4054,60,POPE, O13
556,PP1,310,4452,53 60 76,POPE, O13 P
556,PP1,323,5514,,, 
556,PP1,323,5539,5,POPE, HN2 O14
556,PP1,323,5586,5,POPE, O14
557,PP1,310,3739,,, 
557,PP1,310,4054,54 60,POPE POPG, O13 O14
557,PP1,310,4452,60 76,POPE, O13 P
557,PP1,323,5514,,, 
557,PP1,323,5539,5,POPE, O14
557,PP1,323,5586,5,POPE, O14
558,PP1,310,3739,54,POPG, O14 P
558,PP1,310,4054,54 60,POPE POPG, O11 O13 O14 P
558,PP1,310,4452,60 76,POPE, O13
558,PP1,323,5514,,, 
558,PP1,323,5539,5,POPE, HN1 O14
558,PP1,323,5586,5,POPE, O14
559,PP1,310,3739,53,POPE, O11 O13 P
559,PP1,310,4054,54 60,POPE POPG, O13 O14 P
559,PP1,310,4452,53 60 76,POPE, O11 O13 P
559,PP1,323,5514,,, 
559,PP1,323,5539,5,POPE, HN1 O14
559,PP1,323,5586,5,POPE, O14
560,PP1,310,3739,53 54,POPE POPG, HN1 O14 P
560,PP1,310,4054,54 60,POPE POPG, O11 O13 O14 P
560,PP1,310,4452,60 76,POPE, O13 P
560,PP1,323,5514,,, 
560,PP1,323,5539,5,POPE, O14
560,PP1,323,5586,5,POPE, O14
561,PP1,310,3739,53 54,POPE POPG, HN3 O13 O14
561,PP1,310,4054,54 60,POPE POPG, O13 O14 P
561,PP1,310,4452,54 60 76,POPE POPG, O13 O14 P
561,PP1,323,5514,,, 
561,PP1,323,5539,5,POPE, O14
561,PP1,323,5586,5,POPE, O13 O14
562,PP1,310,3739,53,POPE, O13
562,PP1,310,4054,54 60,POPE POPG, O13 O14 P
562,PP1,310,4452,60 76,POPE, O13 P
562,PP1,323,5514,,, 
562,PP1,323,5539,5,POPE, O14
562,PP1,323,5586,5,POPE, O14
563,PP1,310,3739,53,POPE, O12 O13 P
563,PP1,310,4054,54 60,POPE POPG, O13 O14 P
563,PP1,310,4452,53 60 76,POPE, O13
563,PP1,323,5514,,, 
563,PP1,323,5539,5,POPE, HN3 O14
563,PP1,323,5586,5,POPE, O14
564,PP1,310,3739,53,POPE, O13 P
564,PP1,310,4054,54 60,POPE POPG, O13 O14 P
564,PP1,310,4452,53 60 76,POPE, O13 P
564,PP1,323,5514,,, 
564,PP1,323,5539,5,POPE, O14
564,PP1,323,5586,5,POPE, O13 O14 P
565,PP1,310,3739,53,POPE, O13 P
565,PP1,310,4054,54 60,POPE POPG, O13 O14 P
565,PP1,310,4452,53 60 76,POPE, O12 O13 P
565,PP1,323,5514,,, 
565,PP1,323,5539,5,POPE, HN3 O14
565,PP1,323,5586,5,POPE, O14
566,PP1,310,3739,,, 
566,PP1,310,4054,54 60,POPE POPG, O13 O14
566,PP1,310,4452,53 60 76,POPE, O11 O13 P
566,PP1,323,5514,,, 
566,PP1,323,5539,5,POPE, O14
566,PP1,323,5586,5,POPE, O14
567,PP1,310,3739,,, 
567,PP1,310,4054,54 60,POPE POPG, O13 O14 P
567,PP1,310,4452,53 60,POPE, O13 P
567,PP1,323,5514,,, 
567,PP1,323,5539,5,POPE, O14
567,PP1,323,5586,5,POPE, O14
568,PP1,310,3739,53,POPE, O13
568,PP1,310,4054,60,POPE, O13
568,PP1,310,4452,53 60 76,POPE, O11 O13 P
568,PP1,323,5514,,, 
568,PP1,323,5539,5,POPE, O14
568,PP1,323,5586,5,POPE, O14
569,PP1,310,3739,53,POPE, O13
569,PP1,310,4054,54 60,POPE POPG, O13 O14
569,PP1,310,4452,53 60 76,POPE, O13 P
569,PP1,323,5514,,, 
569,PP1,323,5539,5,POPE, O14
569,PP1,323,5586,5,POPE, O14
570,PP1,310,3739,53,POPE, O13
570,PP1,310,4054,60,POPE, O13
570,PP1,310,4452,53 60 76,POPE, O13 P
570,PP1,323,5514,,, 
570,PP1,323,5539,5,POPE, O14
570,PP1,323,5586,5,POPE, O14
571,PP1,310,3739,53,POPE, O13
571,PP1,310,4054,60,POPE, O13
571,PP1,310,4452,53 60 76,POPE, O13 O14 P
571,PP1,323,5514,,, 
571,PP1,323,5539,5,POPE, O14
571,PP1,323,5586,5,POPE, O13 O14
572,PP1,310,3739,,, 
572,PP1,310,4054,60,POPE, O13
572,PP1,310,4452,53 60 76,POPE, O13 O14 P
572,PP1,323,5514,,, 
572,PP1,323,5539,5,POPE, O14
572,PP1,323,5586,5,POPE, O13 O14
573,PP1,310,3739,104,POPE, HN2
573,PP1,310,4054,60,POPE, O13
573,PP1,310,4452,53 60 76,POPE, O13 O14 P
573,PP1,323,5514,,, 
573,PP1,323,5539,5,POPE, O14
573,PP1,323,5586,5,POPE, O14
574,PP1,310,3739,53,POPE, O13
574,PP1,310,4054,60,POPE, O13
574,PP1,310,4452,53 60 76,POPE, O13 O14 P
574,PP1,323,5514,,, 
574,PP1,323,5539,5,POPE, O14
574,PP1,323,5586,5,POPE, O14
575,PP1,310,3739,53,POPE, O13
575,PP1,310,4054,60,POPE, O13
575,PP1,310,4452,53 60 76,POPE, O11 O13 O14 P
575,PP1,323,5514,,, 
575,PP1,323,5539,5,POPE, O14
575,PP1,323,5586,5,POPE, O14
576,PP1,310,3739,53,POPE, O13
576,PP1,310,4054,60,POPE, O13
576,PP1,310,4452,53 60 76,POPE, O11 O13 O14 P
576,PP1,323,5514,,, 
576,PP1,323,5539,5,POPE, HN3 O14
576,PP1,323,5586,5,POPE, O14
577,PP1,310,3739,,, 
577,PP1,310,4054,60,POPE, O13
577,PP1,310,4452,53 60 76,POPE, O13 O14 P
577,PP1,323,5514,,, 
577,PP1,323,5539,5,POPE, HN2 O14
577,PP1,323,5586,5,POPE, O14
578,PP1,310,3739,53,POPE, O13
578,PP1,310,4054,60,POPE, O13
578,PP1,310,4452,53 60 76,POPE, O11 O13 O14 P
578,PP1,323,5514,,, 
578,PP1,323,5539,5,POPE, HN2 O14
578,PP1,323,5586,5,POPE, O14
579,PP1,310,3739,53,POPE, O11 O13 P
579,PP1,310,4054,60,POPE, O13
579,PP1,310,4452,53 60 76,POPE, O11 O13 P
579,PP1,323,5514,,, 
579,PP1,323,5539,5,POPE, HN2 O14
579,PP1,323,5586,5,POPE, O14
580,PP1,310,3739,53,POPE, O11 O13 P
580,PP1,310,4054,60,POPE, O13
580,PP1,310,4452,60 76,POPE, O13 P
580,PP1,323,5514,,, 
580,PP1,323,5539,5,POPE, O14
580,PP1,323,5586,5,POPE, O13 O14
581,PP1,310,3739,53,POPE, O11 O13 P
581,PP1,310,4054,60,POPE, O13
581,PP1,310,4452,53 60 76,POPE, O11 O13 O14 P
581,PP1,323,5514,,, 
581,PP1,323,5539,5,POPE, O14
581,PP1,323,5586,27 5,POPE, HN1 HN3 N O14
582,PP1,310,3739,53,POPE, HN3 O13 P
582,PP1,310,4054,54 60,POPE POPG, O13 P
582,PP1,310,4452,53 60 76,POPE, O11 O13 O14 P
582,PP1,323,5514,,, 
582,PP1,323,5539,5,POPE, O14
582,PP1,323,5586,5,POPE, O14
583,PP1,310,3739,,, 
583,PP1,310,4054,60,POPE, O13
583,PP1,310,4452,53 60 76,POPE, O13 P
583,PP1,323,5514,,, 
583,PP1,323,5539,5,POPE, HN3 O14
583,PP1,323,5586,5,POPE, O13 O14
584,PP1,310,3739,,, 
584,PP1,310,4054,60,POPE, O13
584,PP1,310,4452,53 60 76,POPE, O11 O13 P
584,PP1,323,5514,,, 
584,PP1,323,5539,5,POPE, HN3 O12 O14
584,PP1,323,5586,5,POPE, O13 O14
585,PP1,310,3739,53,POPE, O13 P
585,PP1,310,4054,60,POPE, O13
585,PP1,310,4452,60 76,POPE, O13 O14 P
585,PP1,323,5514,,, 
585,PP1,323,5539,5,POPE, HN3 O14
585,PP1,323,5586,5,POPE, O14
586,PP1,310,3739,,, 
586,PP1,310,4054,60,POPE, O13
586,PP1,310,4452,60 76,POPE, O13 P
586,PP1,323,5514,,, 
586,PP1,323,5539,5,POPE, O14
586,PP1,323,5586,5,POPE, O14
587,PP1,310,3739,53,POPE, O13
587,PP1,310,4054,60,POPE, O13
587,PP1,310,4452,53 60 76,POPE, O13 O14 P
587,PP1,323,5514,,, 
587,PP1,323,5539,5,POPE, HN3 O14
587,PP1,323,5586,5,POPE, O14
588,PP1,310,3739,53,POPE, O13
588,PP1,310,4054,60,POPE, O13
588,PP1,310,4452,53 60 76,POPE, O13 O14 P
588,PP1,323,5514,,, 
588,PP1,323,5539,5,POPE, O14
588,PP1,323,5586,5,POPE, O14
589,PP1,310,3739,53,POPE, O13 P
589,PP1,310,4054,60,POPE, O13
589,PP1,310,4452,53 60 76,POPE, O13 O14 P
589,PP1,323,5514,,, 
589,PP1,323,5539,5,POPE, O14
589,PP1,323,5586,5,POPE, O14
590,PP1,310,3739,53,POPE, O11 O13 P
590,PP1,310,4054,60,POPE, O13
590,PP1,310,4452,53 60 76,POPE, O11 O13 P
590,PP1,323,5514,,, 
590,PP1,323,5539,5,POPE, O14
590,PP1,323,5586,5,POPE, O14
591,PP1,310,3739,53,POPE, O11 O13 P
591,PP1,310,4054,60,POPE, O13
591,PP1,310,4452,53 60 76,POPE, O11 O13 P
591,PP1,323,5514,,, 
591,PP1,323,5539,5,POPE, O14
591,PP1,323,5586,5,POPE, O12 O14
592,PP1,310,3739,53,POPE, O13
592,PP1,310,4054,60,POPE, O13
592,PP1,310,4452,60 76,POPE, O11 O13 P
592,PP1,323,5514,,, 
592,PP1,323,5539,5,POPE, O14
592,PP1,323,5586,5,POPE, O14
593,PP1,310,3739,53 54,POPE POPG, O13 OC3 P
593,PP1,310,4054,54 60,POPE POPG, O13 O14
593,PP1,310,4452,60 76,POPE, O13 P
593,PP1,323,5514,,, 
593,PP1,323,5539,5,POPE, HN1 O12 O14
593,PP1,323,5586,5,POPE, O14
594,PP1,310,3739,53,POPE, O11 O13 P
594,PP1,310,4054,54 60,POPE POPG, O12 O13 O14
594,PP1,310,4452,53 60 76,POPE, O11 O13
594,PP1,323,5514,,, 
594,PP1,323,5539,5,POPE, HN1 HN3 O12 O14
594,PP1,323,5586,5,POPE, O14
595,PP1,310,3739,54,POPG, O12
595,PP1,310,4054,54 60,POPE POPG, O12 O13 O14 P
595,PP1,310,4452,60 76,POPE, O13 P
595,PP1,323,5514,,, 
595,PP1,323,5539,5,POPE, O14
595,PP1,323,5586,5,POPE, O14
596,PP1,310,3739,53 54,POPE POPG, O13 OC2 P
596,PP1,310,4054,54 60,POPE POPG, O11 O12 O13 O14 P
596,PP1,310,4452,60 76,POPE, O11 O13 P
596,PP1,323,5514,,, 
596,PP1,323,5539,5,POPE, O14
596,PP1,323,5586,5,POPE, O13 O14
597,PP1,310,3739,53 54,POPE POPG, O13 OC2 OC3 P
597,PP1,310,4054,54 60,POPE POPG, O13 OC2 OC3
597,PP1,310,4452,60 76,POPE, O13 P
597,PP1,323,5514,,, 
597,PP1,323,5539,5,POPE, HN1 O14
597,PP1,323,5586,5,POPE, O14
598,PP1,310,3739,53 54,POPE POPG, O13 OC3
598,PP1,310,4054,54 60,POPE POPG, O13 O14 P
598,PP1,310,4452,60 76,POPE, O11 O13 P
598,PP1,323,5514,,, 
598,PP1,323,5539,5,POPE, HN3 O14
598,PP1,323,5586,27 5,POPE, HN3 O14
599,PP1,310,3739,53 54,POPE POPG, O13 OC3 P
599,PP1,310,4054,54 60,POPE POPG, O12 O13 OC3
599,PP1,310,4452,60 76,POPE, O11 O13 P
599,PP1,323,5514,,, 
599,PP1,323,5539,5,POPE, HN2 O14
599,PP1,323,5586,5,POPE, O14
600,PP1,310,3739,54,POPG, OC3
600,PP1,310,4054,54 60,POPE POPG, O13 O14 P
600,PP1,310,4452,60 76,POPE, O11 O13 P
600,PP1,323,5514,,, 
600,PP1,323,5539,5,POPE, O14
600,PP1,323,5586,5,POPE, O14
601,PP1,310,3739,,, 
601,PP1,310,4054,54 60,POPE POPG, O12 O13 O14 P
601,PP1,310,4452,60 76,POPE, O11 O13 P
601,PP1,323,5514,,, 
601,PP1,323,5539,5,POPE, O14
601,PP1,323,5586,5,POPE, O14
602,PP1,310,3739,53 54,POPE POPG, O13 OC2 P
602,PP1,310,4054,54 60,POPE POPG, O13 O14 OC2 P
602,PP1,310,4452,60 76,POPE, HN1 O11 O13 P
602,PP1,323,5514,,, 
602,PP1,323,5539,5,POPE, HN1 O14
602,PP1,323,5586,5,POPE, O14
603,PP1,310,3739,53,POPE, O11 O13 P
603,PP1,310,4054,54 60,POPE POPG, O13 O14 P
603,PP1,310,4452,60 76,POPE, O11 O13 P
603,PP1,323,5514,,, 
603,PP1,323,5539,5,POPE, HN3 O14
603,PP1,323,5586,5,POPE, O14
604,PP1,310,3739,,, 
604,PP1,310,4054,54 60,POPE POPG, O13 O14
604,PP1,310,4452,60 76,POPE, O13
604,PP1,323,5514,,, 
604,PP1,323,5539,5,POPE, HN2 O14
604,PP1,323,5586,5,POPE, O14
605,PP1,310,3739,53 54,POPE POPG, O13 P
605,PP1,310,4054,54 60,POPE POPG, O13
605,PP1,310,4452,60 76,POPE, O11 O12 O13 P
605,PP1,323,5514,,, 
605,PP1,323,5539,5,POPE, HN1 O14
605,PP1,323,5586,5,POPE, O14
606,PP1,310,3739,54,POPG, O13
