Frame,Chain,MgID,WaterID,ListResids,ListResnames,ListAtoms
21,PP1,323,5539,5,POPE, O14
21,PP1,323,5586,5,POPE, O14
22,PP1,310,3739,,, 
22,PP1,310,4054,60,POPE, O13
22,PP1,310,4452,59 60,POPE, O12 O13
22,PP1,323,5514,,, 
22,PP1,323,5539,5,POPE, O14
22,PP1,323,5586,5,POPE, O14
23,PP1,310,3739,74,POPE, HN1 O12
23,PP1,310,4054,60,POPE, O13
23,PP1,310,4452,60 74,POPE, O13 O14 P
23,PP1,323,5514,,, 
23,PP1,323,5539,5,POPE, O14
23,PP1,323,5586,5,POPE, O14
24,PP1,310,3739,,, 
24,PP1,310,4054,60,POPE, O13
24,PP1,310,4452,60 74,POPE, O13 O14
24,PP1,323,5514,,, 
24,PP1,323,5539,5,POPE, O14
24,PP1,323,5586,5,POPE, O14
25,PP1,310,3739,59,POPE, HN1
25,PP1,310,4054,60,POPE, O13
25,PP1,310,4452,60 74,POPE, O12 O13 O14 P
25,PP1,323,5514,,, 
25,PP1,323,5539,5,POPE, O14
25,PP1,323,5586,5,POPE, O14
26,PP1,310,3739,74,POPE, O12
26,PP1,310,4054,60,POPE, O13
26,PP1,310,4452,59 60 74,POPE, HN1 HN3 N O12 O13 O14 P
26,PP1,323,5514,,, 
26,PP1,323,5539,5,POPE, O14
26,PP1,323,5586,5,POPE, O14
27,PP1,310,3739,74,POPE, O12
27,PP1,310,4054,60,POPE, O13
27,PP1,310,4452,59 60 74,POPE, HN3 O13 O14 P
27,PP1,323,5514,,, 
27,PP1,323,5539,5,POPE, O14
27,PP1,323,5586,5,POPE, O14
28,PP1,310,3739,,, 
28,PP1,310,4054,59 60,POPE, HN2 O13
28,PP1,310,4452,60 74,POPE, O12 O13 O14 P
28,PP1,323,5514,,, 
28,PP1,323,5539,5,POPE, O14
28,PP1,323,5586,5,POPE, O14
29,PP1,310,3739,74,POPE, HN1 O13 O14 P
29,PP1,310,4054,59 60,POPE, HN3 O13
29,PP1,310,4452,60 74,POPE, HN1 O13 O14 P
29,PP1,323,5514,,, 
29,PP1,323,5539,5,POPE, O14
29,PP1,323,5586,5,POPE, O14
30,PP1,310,3739,,, 
30,PP1,310,4054,53 60,POPE, O13 P
30,PP1,310,4452,60 74,POPE, O13 O14 P
30,PP1,323,5514,,, 
30,PP1,323,5539,5,POPE, O14
30,PP1,323,5586,5,POPE, O14
31,PP1,310,3739,74,POPE, HN3
31,PP1,310,4054,53 60,POPE, O13 P
31,PP1,310,4452,53 60 74,POPE, O13 O14 P
31,PP1,323,5514,,, 
31,PP1,323,5539,5,POPE, O14
31,PP1,323,5586,5,POPE, O14
32,PP1,310,3739,74,POPE, O12 O14
32,PP1,310,4054,60,POPE, O13
32,PP1,310,4452,60 74,POPE, O13 O14 P
32,PP1,323,5514,,, 
32,PP1,323,5539,5,POPE, O14
32,PP1,323,5586,5,POPE, O14
33,PP1,310,3739,,, 
33,PP1,310,4054,60,POPE, O13
33,PP1,310,4452,59 60 74,POPE, HN2 O13 O14 P
33,PP1,323,5514,,, 
33,PP1,323,5539,5,POPE, O14
33,PP1,323,5586,5,POPE, O14
34,PP1,310,3739,74,POPE, O13
34,PP1,310,4054,53 60,POPE, O13 P
34,PP1,310,4452,59 60 74,POPE, HN1 O12 O13 O14 P
34,PP1,323,5514,,, 
34,PP1,323,5539,5,POPE, O14
34,PP1,323,5586,5,POPE, O14
35,PP1,310,3739,74,POPE, O13
35,PP1,310,4054,53 60,POPE, O13 P
35,PP1,310,4452,59 60 74,POPE, HN1 HN3 O12 O13 O14 P
35,PP1,323,5514,,, 
35,PP1,323,5539,5,POPE, O14
35,PP1,323,5586,5,POPE, O14
36,PP1,310,3739,,, 
36,PP1,310,4054,53 60,POPE, O13 P
36,PP1,310,4452,60 74,POPE, O12 O13 O14 P
36,PP1,323,5514,,, 
36,PP1,323,5539,5,POPE, O14
36,PP1,323,5586,5,POPE, O14
37,PP1,310,3739,,, 
37,PP1,310,4054,53 60,POPE, O13 P
37,PP1,310,4452,60 74,POPE, O12 O13 O14 P
37,PP1,323,5514,,, 
37,PP1,323,5539,5,POPE, O14
37,PP1,323,5586,5,POPE, O14
38,PP1,310,3739,59,POPE, O14 P
38,PP1,310,4054,59 60,POPE, O13
38,PP1,310,4452,60,POPE, O13
38,PP1,323,5514,,, 
38,PP1,323,5539,5,POPE, O14
38,PP1,323,5586,5,POPE, O14
39,PP1,310,3739,,, 
39,PP1,310,4054,59 60,POPE, O13 O14 P
39,PP1,310,4452,60 74,POPE, O13 O14 P
39,PP1,323,5514,,, 
39,PP1,323,5539,5,POPE, O11 O14
39,PP1,323,5586,5,POPE, O14
40,PP1,310,3739,74,POPE, HN2
40,PP1,310,4054,60,POPE, O13
40,PP1,310,4452,60,POPE, O13
40,PP1,323,5514,,, 
40,PP1,323,5539,5,POPE, O14
40,PP1,323,5586,5,POPE, O14
41,PP1,310,3739,,, 
41,PP1,310,4054,60,POPE, O13
41,PP1,310,4452,60,POPE, O13
41,PP1,323,5514,,, 
41,PP1,323,5539,5,POPE, O14
41,PP1,323,5586,5,POPE, O14
42,PP1,310,3739,74,POPE, HN1 HN2 O14 P
42,PP1,310,4054,60,POPE, O13
42,PP1,310,4452,60,POPE, O13
42,PP1,323,5514,,, 
42,PP1,323,5539,5,POPE, O14
42,PP1,323,5586,5,POPE, O14
43,PP1,310,3739,,, 
43,PP1,310,4054,53 60,POPE, O11 O13 P
43,PP1,310,4452,60,POPE, O13
43,PP1,323,5514,,, 
43,PP1,323,5539,5,POPE, O14
43,PP1,323,5586,5,POPE, O14
44,PP1,310,3739,104,POPE, HN1
44,PP1,310,4054,53 60,POPE, O13 P
44,PP1,310,4452,60 74,POPE, HN1 O11 O13 O14 P
44,PP1,323,5514,,, 
44,PP1,323,5539,5,POPE, O14
44,PP1,323,5586,5,POPE, O14
45,PP1,310,3739,74,POPE, O14
45,PP1,310,4054,53 60,POPE, HN3 O13
45,PP1,310,4452,60,POPE, O13
45,PP1,323,5514,,, 
45,PP1,323,5539,5,POPE, O14
45,PP1,323,5586,5,POPE, O14
46,PP1,310,3739,104 74,POPE, HN3 O11 O14 P
46,PP1,310,4054,60,POPE, O13
46,PP1,310,4452,60,POPE, O13
46,PP1,323,5514,,, 
